PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
Energy Audit,None,Completed,31-Mar-10,19-Mar-12,719,Mario Merola Building,851 Grand Concourse,DCAS,"1,535.73",10451,BRONX    ,40.825999,-73.923131,4,8,63,2002869,2024680001,West Concourse                                                             
Lighting System Upgrade,Retrofit,Substantially Completed,26-Mar-12,21-Jun-12,87,East Harlem Health Care Center,158 East 115th Street,DOHMH,51.79,10029,MANHATTAN,40.797755,-73.941699,11,8,182,1052229,1016400147,East Harlem North                                                          
Lighting System Upgrade,Retrofit,Substantially Completed,1-Jul-11,31-Dec-11,183,Engine Company 268,259 Beach 116 Street,FDNY,15.94,,,,,,,,,,
Energy Audit,None,Completed,6-Feb-12,15-Jun-12,130,81st Precinct,30 Ralph Ave Brooklyn NY,NYPD,42.72,11221,BROOKLYN ,40.689456,-73.924024,3,41,387,3044596,3016330039,Stuyvesant Heights                                                         
Other,Retro-commissioning,Survey,,,0,Charles A. Dorsey PS 67,51 Saint Edwards St,DOE,0,11205,BROOKLYN ,40.695633,-73.978215,2,35,2901,3332507,3020390002,Fort Greene                                                                
Comprehensive,Retrofit,Design,1-Jul-11,,0,Twin Parks Upper School,2055 Mapes Ave,DOE,501.16,10460,BRONX    ,40.845878,-73.886184,6,15,371,2012957,2031090001,East Tremont                                                               
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,253,61st Precinct,2575 CONEY ISLAND AVENUE,NYPD,41.65,11223,BROOKLYN ,40.594011,-73.960853,15,48,584,3200556,3073710052,Homecrest                                                                  
Comprehensive,Retrofit,Cancelled,,,0,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,117.07,11201,BROOKLYN ,40.695657,-73.991006,2,33,502,3001939,3002390016,Brooklyn Heights-Cobble Hill                                               
Energy Audit,None,Completed,9-Jan-12,3-Apr-12,85,73rd Precinct,470 EAST NEW YORK AVENUE,NYPD,66.37,11225,BROOKLYN ,40.661783,-73.947073,9,40,806,3106522,3047920008,Prospect Lefferts Gardens-Wingate                                          
Lighting System Upgrade,Retrofit,Substantially Completed,12-Mar-12,29-Mar-12,17,Woodhaven Branch Library,8541 Forest Pkwy,QPL,8.27,11421,QUEENS   ,40.694619,-73.861812,9,32,12,4181578,4088560085,Woodhaven                                                                  
