PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,22-Sep-09,147,NYBG - Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, 2667 Dr. Theodore Kazimiroff Boulevard",DCLA,69.95,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,0,,,,,,,,,,
Energy Audit,None,Completed,19-Oct-10,23-Nov-11,400,Studio Museum in Harlem,144 Wesst 125th Street,DCAS,265.82,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,0,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,539.56,,,,,,,,,,
Other,Retrofit,Design,,,0,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,"6,026.93",,,,,,,,,,
Other,Cogen,Design,,,0,City Hall,BETWEEN BROADWAY & PARK ROW,DCAS,892.02,,,,,,,,,,
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,120,Long Island City Courthouse,2510 Thompson Avenue,DCAS,0,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Energy Audit,None,Completed,15-Feb-12,30-Jun-12,136,,,,220.79,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,Manhattan 3 Garage,South Street &Pier 36 New York NY 10002,DSNY,259.46,,,,,,,,,,
Energy Audit,None,Completed,24-Jan-11,10-May-11,106,Cioffe Borough Repair Shop,105-02 Avenue,DSNY,0,,,,,,,,,,
Energy Audit,None,Completed,,,0,,58-50 57th Road,,0,,,,,,,,,,
Energy Audit,None,Completed,21-Feb-12,,0,Ranaqua Garage And Shops - 1 Bronx River Pkwy,1 Bronx River Pkwy,DPR,102.23,,,,,,,,,,
Energy Audit,None,Completed,10-Nov-10,24-Feb-11,106,Roy Wilkins Recreation Center,Baisley Blvd & Merrick Blvd,DPR,132.41,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,,0,,,,,,,,,,
Other,,Install,,,0,,,DEP1,0,,,,,,,,,,
Other,,Undefined,,,0,Dep Centrifuge Upgrade - Hunts Point Waste Water Treatment Plant,,DEP1,0,,,,,,,,,,
HVAC System Upgrade,,Undefined,,,0,Dep Engine Generator Conversion - Owls Head Waste Water Treatment Plant,Shore Pkwy & 66th St. Owl's Head WPCP,DEP1,0,,,,,,,,,,
Other,Retrofit,Proposed,,,0,,,DEP1,0,,,,,,,,,,
Other,Retrofit,Proposed,,,0,,,DEP1,0,,,,,,,,,,
Other,Cogen,Completed,15-Jan-08,31-Jul-09,563,Rikers Island Co-Generation Plant 30% Design,,DOC,0,,,,,,,,,,
Other,Cogen,Design,31-Jul-09,31-Mar-10,243,Rikers Island Co-Generation Plant 100% Design,,DOC,0,,,,,,,,,,
HVAC System Upgrade,Cogen,Install,13-Sep-11,,0,Rikers Island Co-Generation Plant Construction,,DOC,"37,546.28",,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,316,Grace H. Dodge Vocational High School,"CROTONA AVE & E 187TH ST GRACE DODGE VHS, 2474 Crotona Avenue",DOE,123.87,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,,20-Mar-08,0,,,,314.26,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,23-Jan-09,28-Jul-09,186,Port Richmond H.S.,"Address 1
INNIS ST & ST JOSEPHS AV PT RICHMOND H S, 85 St. Josephs Avenue",DOE,177.14,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,0,,,,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,P.S. 8R,"12 Lindenwood Rd, 100 Lindenwood Rd",DOE,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,0,09X110 - 580 Crotona Park South,580 Crotona Pkwy South,DOE,85.76,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,"Co-op City (PS 153,178,180,181,455)",650-850 Baychester,DOE,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,P.S 174X Eugene T. Maleska,456 White Road,DOE,112.08,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,12-Dec-11,14-Dec-11,2,John Bowne,142-30 Barcklay Ave.,DOE,68.18,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,John Bowne PS 20 Queens,142-30 Barcklay Ave.,DOE,1.5,,,,,,,,,,
Energy Audit,None,Completed,,,0,,,HHC,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,,,DOE,168.89,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,0,,,,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,K302 - IS 302K Rafael Cordero Middle School,350 Linwook St,DOE,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,,,DOE,180.31,,,,,,,,,,
Comprehensive,Retrofit,Design,10-Aug-11,,0,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,335.91,,,,,,,,,,
Energy Audit,None,Completed,14-Oct-10,27-May-11,225,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,R080 - The Michael J. Petrides School,715 Ocean Terrrace,DOE,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28,,,,,,,,,,
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,418,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,Alexander Humboldt,586 West 117th Street,DOE,161.31,,,,,,,,,,
Energy Audit,None,Completed,10-Feb-11,13-Feb-12,368,Alexander Humboldt,586 West 117th Street,DOE,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,Alexander Humboldt,586 West 117th Street,DOE,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,0,,,,,,,,,,
Energy Audit,None,Completed,13-Apr-11,14-Feb-12,307,K225 The Eileen E. Zaglin,1075 Oceanview,DOE,8.93,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,Randall's Island 5 Borough Complex,,DPR,0,,,,,,,,,,
HVAC System Upgrade,,Cancelled,,,0,,,,0,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,Brooklyn Cruise Terminal,Conover & Pioneer Street,NYCEDC,209.72,,,,,,,,,,
HVAC System Upgrade,Solar Thermal,Design,,,0,Engine Company 268,259 116 Street,FDNY,3.34,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,31-Oct-11,49,Human Resources Administration - 260 11th Avenue,"260 11th Avenue, 246 11th Avenue",HRA,92.81,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,0,Bushwick Multi Service Center,1420 Burswick Ave,HRA,23.19,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,0,Bushwick Multi Service Center,1420 Burswick Ave,HRA,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,Bushwick Multi Service Center,1420 Burswick Ave,HRA,0,,,,,,,,,,
HVAC System Upgrade,,Completed,,,0,,,,47.45,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,13-Sep-10,27-Sep-11,379,1086 Simpson Street Bronx NY 10459,,NYPD,157.12,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,,,0,,,NYPD,0,,,,,,,,,,
Other,Cogen,Install,,,0,New York Police Academy,"College Point, Queens",NYPD,0,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,Staten Island Zoo,"614 Broadway Staten Island, NY",,111.18,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,,,0,Tremont Health Center - 1826 Arthur Avenue,1826 Arthur Avenue,DOHMH,45.96,10457,BRONX    ,40.844083,-73.894482,6,17,36901,2009891,2029450018,East Tremont                                                               
Energy Audit,None,Completed,9-Feb-11,30-Jun-11,141,George R. Vierno Center,09-09 Hazen St,DOC,0,11370,QUEENS   ,40.794577,-73.884162,1,22,1,2096863,2026050040,Rikers Island                                                              
HVAC System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,61,Horizon Juvenile Center - 560 Brook Avenue,55 St. Anns Ave (560 Brook),ACS,105.27,10454,BRONX    ,40.802554,-73.920557,1,8,19,,,Mott Haven-Port Morris                                                     
Energy Audit,None,Completed,,,0,NYPD 67th Precinct & Eng Co 248,2820 Snyder Avenue,NYPD,0,11226,BROOKLYN ,40.648843,-73.951015,17,40,824,3117400,3051110024,Erasmus                                                                    
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,253,111th Precinct,45-06 215TH STREET,NYPD,26.75,11361,QUEENS   ,40.760179,-73.767441,11,19,1471,4157390,4073330221,Bayside-Bayside Hills                                                      
Energy Audit,None,Completed,26-Sep-11,6-Feb-12,133,Fort Washington Armory Shelter,216 Fort Washington Avenue New York NY,DHS,342.94,10032,MANHATTAN,40.842571,-73.942097,12,10,251,1063381,1021380079,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,61,Crossroads Juvenile Center,17 Bristol Street,ACS,86.05,11212,BROOKLYN ,40.670746,-73.912932,16,41,924,3378202,3034980008,Brownsville                                                                
Energy Audit,None,Completed,8-Feb-11,10-Nov-11,275,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,5-Sep-07,15-Sep-08,376,Old 44th Precinct (Bronx Task Force),1278 SEDGWICK AVENUE,NYPD,13.48,10452,BRONX    ,40.840261,-73.928514,4,16,201,2003522,2025300021,Highbridge                                                                 
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,12-Sep-11,1281,79th Pct.,263 Tompkins Ave.,NYPD,287.26,11216,BROOKLYN ,40.688993,-73.945025,3,36,263,3050453,3018000003,Bedford                                                                    
Other,Retro-commissioning,Survey,,,0,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,0,10452,BRONX    ,40.842943,-73.920563,4,16,21302,2088263,2028730027,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,0,K114 - P.S. 114 Ryder Elementary,1077 Remsen Avenue,DOE,40.52,11236,BROOKLYN ,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   
Energy Audit,None,Completed,2-Feb-12,15-Jun-12,134,"Brooklyn 1,4 District Garages",161 Varick Ave. Brooklyn NY,DSNY,"1,351.01",11237,BROOKLYN ,40.711118,-73.928548,1,34,449,3400387,3029620001,East Williamsburg                                                          
Lighting System Upgrade,Retrofit,Completed,3-Jan-11,27-Apr-11,114,Human Resources Administration - 109 East 16th Street,109 East 16th Street,HRA,126.43,10003,MANHATTAN,40.735681,-73.988713,5,2,50,1017821,1008720013,Gramercy                                                                   
Energy Audit,None,Completed,,,0,Brooklyn Museum,200 Eastern Parkway,DCLA,0,11238,BROOKLYN ,40.671835,-73.963042,55,35,177,3029667,3011830026,park-cemetery-etc-Brooklyn                                                 
HVAC System Upgrade,Solar Thermal,Design,,,0,Engine Company 265,48-06 Rockaway Beach,FDNY,3.72,11694,QUEENS   ,40.570817,-73.854379,14,32,928,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Other,Retro-commissioning,Survey,,,0,5 Boro,1 Randalls Island,DPR,0,10035,MANHATTAN,40.794834,-73.921697,11,8,240,1000000,1018190203,park-cemetery-etc-Manhattan                                                
Other,Retro-commissioning,Proposed,,,0,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,0,10466,BRONX    ,40.884343,-73.840254,12,12,484,2065992,2049160001,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,316,P.S. 396X / M.S. 390X,1930 ANDREWS AVE,DOE,148.75,10453,BRONX    ,40.854701,-73.913197,5,14,24502,2014692,2032160002,University Heights-Morris Heights                                          
Lighting System Upgrade,Retrofit,Substantially Completed,5-Jan-11,21-Nov-11,320,12X092 - 700 East 179th Street,700 East 179th Street,DOE,64.13,10457,BRONX    ,40.846711,-73.889815,6,17,371,2012620,2030920014,East Tremont                                                               
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jun-09,12-May-10,320,"Bklyn 8, Bklyn 7/10 District Garages",5100 1st Ave,DSNY,108.41,11232,BROOKLYN ,40.649977,-74.02012,7,38,18,3000000,3007250200,Sunset Park West                                                           
Energy Audit,None,Completed,6-Jun-12,2-Jul-12,26,Fort Totten,Fort Totten Bayside NY,FDNY,397.97,11359,QUEENS   ,40.791326,-73.776653,7,19,999,4000000,4059170001,Ft. Totten-Bay Terrace-Clearview                                           
Energy Audit,None,Completed,2-Mar-11,15-May-12,440,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,29.34,11354,QUEENS   ,40.774512,-73.819284,7,19,1047,4108665,4048030001,Murray Hill                                                                
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,30-Jul-09,125,Engine Company 206,1201 GRAND ST,FDNY,25.27,11211,BROOKLYN ,40.715147,-73.927956,1,34,449,3070506,3029290053,East Williamsburg                                                          
HVAC System Upgrade,Retrofit,Completed,1-Jul-08,30-Dec-09,547,,,DCLA,871.51,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,0,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,145.35,10452,BRONX    ,40.842943,-73.920563,4,16,21302,2088263,2028730027,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Completed,1-Dec-08,20-Jul-09,231,123rd Precinct,116 Main Street,NYPD,12.63,10307,STATEN IS,40.512,-74.249725,3,51,248,5088926,5080280056,Charleston-Richmond Valley-Tottenville                                     
Other,Retro-commissioning,Survey,9-Aug-11,,0,Fleet Services Shop,654 West 158th Street,,0,10032,MANHATTAN,40.836,-73.947567,12,7,241,1087614,1021340218,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,21-Nov-11,315,X430 Walton H.S.,2780 Reservoir Ave @ East 196th Street,DOE,94.85,10468,BRONX    ,40.870293,-73.898309,7,11,409,2015241,2032470070,Van Cortlandt Village                                                      
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,147,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,191 UNION STREET,NYPD,41.78,11231,BROOKLYN ,40.683643,-74.000303,6,39,63,3004301,3003370027,Carroll Gardens-Columbia Street-Red Hook                                   
Energy Audit,None,Completed,9-Feb-11,11-May-12,457,PS 75M Emily Dickinson School,735 West End Ave,DOE,51.89,10025,MANHATTAN,40.795157,-73.973292,7,6,183,1034190,1012530065,Upper West Side                                                            
Comprehensive,Retrofit,Design,,,0,PS 13K - Roberto Clemente School,"557 Pennsylvania Ave  Brooklyn, NY",DOE,437.31,11207,BROOKLYN ,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
Energy Audit,None,Completed,28-Oct-10,20-May-11,204,K067 - PS 67K Charles A. Dorsey School,51 Saint Edwards St,DOE,128.03,11205,BROOKLYN ,40.695633,-73.978215,2,35,2901,3332507,3020390002,Fort Greene                                                                
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,0,X069 - P.S. The New Vision School,560 Theriot Avenue,DOE,39.64,10473,BRONX    ,40.816693,-73.860904,9,18,16,2021482,2035240020,Soundview-Castle Hill-Clason Point-Harding Park                            
Lighting System Upgrade,Retrofit,Completed,4-Jan-11,15-Dec-11,345,14K147 - 325 Bushwick Avenue,325 Bushwick Avenue,DOE,93.57,11206,BROOKLYN ,40.705204,-73.939407,1,34,485,3071418,3030910001,Bushwick South                                                             
HVAC System Upgrade,Retrofit,Design,2-Mar-11,,0,60-80-100 Centre Street,60-80-100 Centre Street,DCAS,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,0,09X002 - 1365 Fulton Avenue,1365 Fulton Ave,DOE,52.42,10456,BRONX    ,40.833696,-73.902477,3,16,14701,2009617,2029250056,Claremont-Bathgate                                                         
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,10-Jul-09,105,Engine Company 45 & Ladder 58,925 E TREMONT AVE,FDNY,27.45,10460,BRONX    ,40.84172,-73.883628,6,17,363,2013192,2031260012,East Tremont                                                               
Comprehensive,Retrofit,Design,,,0,Comprehensive Energy Audit at P.S. X-054,"2703 Webster Ave Bronx, NY 10458",DOE,165.09,10458,BRONX    ,40.864527,-73.887829,7,15,40502,2113630,2032780014,Bedford Park-Fordham North                                                 
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,31-Aug-11,233,Ferry Maintenance Facility,1 Bay Street,DOT,136.37,10301,STATEN IS,40.643574,-74.072627,1,49,3,5141706,5000020001,West New Brighton-New Brighton-St. George                                  
Other,Retro-commissioning,Survey,,,0,Ko13-P.S. 13K Roberto Clemente School,557 Pennsylvania Ave,,0,11207,BROOKLYN ,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
Other,Retro-commissioning,Survey,,,0,M019- PS 019- Asher Levy,179 1st Avenue,,0,10003,MANHATTAN,40.729469,-73.983937,3,2,40,1006478,1004530034,East Village                                                               
Energy Audit,None,Completed,7-Oct-10,2-Jun-10,0,Q120 - PS 120Q,58-01 136 Street,DOE,51.5,11355,QUEENS   ,40.745526,-73.829309,7,20,80301,4139491,4063730001,Queensboro Hill                                                            
Lighting System Upgrade,Retrofit,Completed,1-May-09,30-Sep-09,152,Q440 - Forest Hills High School,67-01 110th Street,DOE,179.68,11375,QUEENS   ,40.729402,-73.845637,6,29,747,4052143,4021890002,Forest Hills                                                               
Other,Retro-commissioning,Survey,,,0,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,0,11215,BROOKLYN ,40.661061,-73.986534,7,38,149,3016509,3008690001,Park Slope-Gowanus                                                         
Other,Retro-commissioning,Survey,,,0,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,0,11211,BROOKLYN ,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      
Comprehensive,Retrofit,Design,,,0,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,95.1,10473,BRONX    ,40.823526,-73.859662,9,18,42,2103869,2036440001,Soundview-Castle Hill-Clason Point-Harding Park                            
HVAC System Upgrade,Retrofit,Install,1-May-09,30-Nov-11,943,Museum Of The City Of New York,1220 Fifth Avenue,DCLA,111.96,10029,MANHATTAN,40.792438,-73.952448,11,8,168,1074157,1016090001,East Harlem South                                                          
Energy Audit,None,Completed,24-Mar-10,7-Oct-10,197,X129 Twin Parks Upper School,2055 Mapes Avenue,DOE,137.68,10460,BRONX    ,40.845878,-73.886184,6,15,371,2012957,2031090001,East Tremont                                                               
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,196,Brownsville Recreation Center,598 Christopher Ave,DPR,0,11212,BROOKLYN ,40.656816,-73.902577,16,42,922,3085992,3038680002,Brownsville                                                                
Other,Retro-commissioning,Survey,,,0,Eugene T.Maleska Middle School,456 White Plains Road,DOE,0,10473,BRONX    ,40.814833,-73.85658,9,18,4,2020580,2034780018,Soundview-Castle Hill-Clason Point-Harding Park                            
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,72,115th Precinct - Photovoltaic,92-15 Northern Blvd,NYPD,22.52,11372,QUEENS   ,40.756571,-73.875836,3,21,351,4034862,4014220034,Jackson Heights                                                            
Comprehensive,Retrofit,Design,,,0, P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,31.68,10466,BRONX    ,40.885008,-73.843193,12,12,458,2065991,2049050500,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,In Progress,26-Oct-11,15-Feb-12,112,Franklin Women's Shelter,1122 Franklin Avenue,DHS,0,10456,BRONX    ,40.828395,-73.905632,3,16,185,2004260,2026130001,Morrisania-Melrose                                                         
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,310,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),159-15 88th Street,DOE,48.9,11414,QUEENS   ,40.658089,-73.844432,10,32,892,4293311,4140090060,Lindenwood-Howard Beach                                                    
Other,Retro-commissioning,Survey,,,0,P.S. 138 Brooklyn,760 Prospect Place,DOE,0,11216,BROOKLYN ,40.67438,-73.951443,8,36,31701,3330794,3012330026,Crown Heights North                                                        
Other,Retro-commissioning,Proposed,,,0,122nd Precinct,2320 Hylan Blvd,NYPD,0,10306,STATEN IS,40.5743,-74.105888,2,50,11202,5107580,5039060001,New Dorp-Midland Beach                                                     
Energy Audit,None,Completed,12-Oct-10,5-May-11,205,K009 - PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,86.38,11238,BROOKLYN ,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
Other,Retro-commissioning,Proposed,,,0,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,0,10455,BRONX    ,40.811972,-73.914275,1,8,37,2003692,2025570001,Mott Haven-Port Morris                                                     
Other,Retro-commissioning,Survey,9-Aug-11,,0,100 Gold Street,100 Gold Street,DCAS,0,10038,MANHATTAN,40.710353,-74.004007,1,1,1501,1001289,1000940025,Battery Park City-Lower Manhattan                                          
Energy Audit,None,Completed,6-Apr-11,17-May-12,407,"PS 10K Magnet School of Math, Science and Design Technology",511 Seventh Ave,DOE,53.91,11215,BROOKLYN ,40.661061,-73.986534,7,38,149,3016509,3008690001,Park Slope-Gowanus                                                         
Comprehensive,Retrofit,Design,,,0,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,"2,021.92",11370,QUEENS   ,40.790301,-73.884412,1,22,1,,,Rikers Island                                                              
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,196,Chelsea Recreation Center,430-44 West 25th Street,DPR,0,10001,MANHATTAN,40.748291,-74.001649,4,3,93,1012811,1007220057,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,9-Feb-11,30-Jun-11,141,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,"2,021.92",11370,QUEENS   ,40.790301,-73.884412,1,22,1,,,Rikers Island                                                              
Other,Retro-commissioning,Proposed,,,0,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,0,11201,BROOKLYN ,40.695657,-73.991006,2,33,502,3001939,3002390016,Brooklyn Heights-Cobble Hill                                               
Energy Audit,None,In Progress,14-Aug-12,,0,K 251 Paerdegat,1037 East 54th Street,DOE,0,11234,BROOKLYN ,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  
Comprehensive,Retrofit,Design,,,0,Charles A. Dorsey PS 67,51 Saint Edwards St,DOE,146.94,11205,BROOKLYN ,40.695633,-73.978215,2,35,2901,3332507,3020390002,Fort Greene                                                                
Lighting System Upgrade,Retrofit,Design,,,0,Brownsville Recreation Center,598 Christopher Ave,DPR,0,11212,BROOKLYN ,40.656816,-73.902577,16,42,922,3085992,3038680002,Brownsville                                                                
HVAC System Upgrade,Retrofit,Completed,15-Nov-10,26-Apr-11,162,Cioffe Borough Shop - 106-01 Avenue D,106-01 Avenue D,DSNY,148.09,11236,BROOKLYN ,40.654363,-73.900725,18,42,1098,3252759,3038710001,East New York                                                              
Energy Audit,None,Completed,19-Oct-10,,0,X054 - IS 54,2703 Webster Ave,DOE,0,10458,BRONX    ,40.864527,-73.887829,7,15,40502,2113630,2032780014,Bedford Park-Fordham North                                                 
Other,Retro-commissioning,Survey,,,0,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,0,10018,MANHATTAN,40.752047,-73.981946,5,4,84,,,Midtown-Midtown South                                                      
HVAC System Upgrade,Retrofit,Design,,,0,Manhattan Criminal Courthouse,100 Centre Street,DCAS,"1,545.09",10013,MANHATTAN,40.716084,-74.001425,1,1,29,1079000,1001670001,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,220,Pier 36 Precinct,PIER 36 & SOUTH STREET,NYPD,15.9,10002,MANHATTAN,40.709677,-73.986178,3,1,201,1000000,1002410013,Lower East Side                                                            
Comprehensive,Retrofit,Design,,,0,P.S.307K Daniel Hale Williams School,209 York Street,DOE,80.52,11201,BROOKLYN ,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Other,Retro-commissioning,Survey,,,0,K329- Surfside,2929 West 30th Street,DOE,0,11224,BROOKLYN ,40.574607,-73.996292,13,47,342,3189517,3070510001,Seagate-Coney Island                                                       
Energy Audit,None,Completed,,,0,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,,101.97,11208,BROOKLYN ,40.670724,-73.874208,5,42,1118,3095977,3042780001,East New York                                                              
Energy Audit,None,Completed,,2-Mar-11,0,Co-op City Educational Campus,850 Baychester Ave,DOE,"1,042.82",10475,BRONX    ,40.875894,-73.833863,10,12,46201,2116161,2051410150,Co-op City                                                                 
HVAC System Upgrade,Retrofit,Completed,7-Nov-09,10-Mar-11,488,Museum Of The Moving Image,36-01 35th Ave,DCLA,143.86,11106,QUEENS   ,40.756206,-73.924377,1,26,57,4439074,4006440001,Astoria                                                                    
Other,Retro-commissioning,Survey,,,0,Queens Vocational and Technical High School,37-02 47th Avenue,,0,11101,QUEENS   ,40.742205,-73.928219,2,26,189,4003259,4002280020,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,2-Dec-11,81,NYPD Central Repair Shop,53-15 5bth Street,NYPD,98.39,,,,,,,,,,
Other,Photovoltaic,Substantially Completed,24-Oct-11,22-Feb-12,121,Sunrise Yard,88-20 Pitkin Ave and Linden Blvd,DOT,22.7,11417,QUEENS   ,40.673779,-73.847572,10,32,58,,,Ozone Park                                                                 
Comprehensive,Retrofit,Design,,,0,Staten Island 3 District,2 Muldoon Ave Staten Island,DSNY,264.6,10309,STATEN IS,40.575017,-74.196645,3,51,228,5158124,5059000500,New Springville-Bloomfield-Travis                                          
HVAC System Upgrade,Retrofit,Design,,,0,Mario Merola Building,851 Grand Concourse Bronx NY,DFMC,777.76,10451,BRONX    ,40.825999,-73.923131,4,8,63,2002869,2024680001,West Concourse                                                             
Comprehensive,Retrofit,Design,,,0,Queens Vocational and Technical High School,37-02 47th Avenue,DOE,495.79,11101,QUEENS   ,40.742205,-73.928219,2,26,189,4003259,4002280020,Hunters Point-Sunnyside-West Maspeth                                       
