Year,A1,DM,NB
2008,15360,4772,25235
2009,13706,2525,19292
2010,13139,1906,15565
2011,13353,2088,13541
2012,13512,2243,13460
2013,13684,2849,15008
2014,14588,3385,17248
2015,15066,3913,19951
2016,17018,4233,19963
2017,18786,4074,21007
2018,17337,2583,19209
2019,16941,2364,18310
2020,11623,1683,14138
2021,1482,169,1721
